國道,里程,路名,方向標籤,緯度,經度,現行方位(羅盤),實際走向(新),差距,來源,離OSM道路(m),鄰桿弦方位,鄰桿一致度,處置
1,1.9,國道一號北向1.9公里,北向,25.107764,121.725338,0,20,20,osm,2,72,1,改寫
1,2,國道一號南向2公里,南向,25.106857,121.724738,180,201,21,osm,6,252,1,改寫
1,7.5,國道一號北向7.5公里,北向,25.085808,121.680708,0,89,89,osm,0,68,1,改寫
1,13.7,國道一號南向13.7公里,南向,25.066725,121.624945,180,265,85,osm,4,258,1,改寫
1,14.5,國道一號北向14.5公里,北向,25.065916,121.616437,0,83,83,osm,8,78,1,改寫
1,16,國道一號汐五北向16公里,北向,25.063947,121.601696,0,82,82,osm,1,89,1,改寫
1,16.1,國道一號汐五南向16.1公里,南向,25.064278,121.601444,180,262,82,osm,0,269,1,改寫
1,22.7,國道一號南向22.7公里,南向,25.07305,121.536862,180,262,82,osm,1,276,1,改寫
1,26.8,國道一號南向26.8公里,南向,25.04396,121.30055,180,242,62,osm,386,263,0.69,維持舊值
1,29.5,國道一號汐五南向29.5公里,南向,25.075502,121.471292,180,284,104,osm,4,258,1,改寫
1,30,國道一號南向30公里,南向,25.075938,121.466354,180,271,91,osm,1,258,1,改寫
1,34.4,國道一號北向34.4公里,北向,25.066258,121.423881,0,57,57,osm,14,79,1,改寫
1,34.4,國道一號南向34.4公里,南向,25.067222,121.424368,180,241,61,osm,8,259,1,改寫
1,35.56,國道一號南向35.56公里,南向,25.03426,121.24545,180,301,121,osm,262,259,0.89,維持舊值
1,37,國道一號北向37公里,北向,25.055336,121.402562,0,99,99,osm,1,81,1,改寫
1,38.8,國道一號五楊北向38.8公里,北向,25.065003,121.383882,0,81,81,osm,10,85,1,改寫
1,44.6,國道一號五楊南向44.6公里,南向,25.060703,121.332635,180,228,48,osm,1,280,1,改寫
1,51.195,國道一號南向51.195公里,南向,25.01288,121.16468,180,241,61,chord,,241,0.8,維持舊值
1,60.1,國道一號南向60.1公里,南向,24.970357,121.216665,180,227,47,osm,4,242,0.99,改寫
1,63.7,國道一號北向63.7公里,北向,24.945833,121.194772,0,14,14,osm,4,50,1,改寫
1,64.3,國道一號五楊北向64.3公里,北向,24.941028,121.193528,0,20,20,osm,2,50,1,改寫
1,66.6,國道一號北向66.6公里,北向,24.55137,121.10067,0,23,23,chord,,23,1,維持舊值
1,68,國道一號南向68公里,南向,24.55043,121.10031,180,203,23,chord,,203,1,維持舊值
1,78.2,國道一號南向78.2公里,南向,24.884719,121.082151,180,266,86,osm,5,258,1,改寫
1,81.1,國道一號北向81.1公里,北向,24.875991,121.055756,0,90,90,osm,8,72,1,改寫
1,81.8,國道一號南向81.8公里,南向,24.876383,121.048615,180,274,94,osm,21,252,1,改寫
1,81.8,國道一號南向81.8公里,南向,24.876605,121.048805,180,274,94,osm,5,252,1,改寫
1,82.1,國道一號北向82.1公里,北向,24.876559,121.046089,0,94,94,osm,7,72,1,改寫
1,86.5,國道一號南向86.5公里,南向,24.859917,121.010661,180,191,11,osm,2,251,1,改寫
1,102.5,國道一號南向102.5公里,南向,24.736074,120.968521,180,235,55,osm,0,216,0.99,改寫
1,105.5,國道一號北向105.5公里,北向,24.726902,120.947318,0,89,89,osm,4,35,0.99,改寫
1,106,國道一號南向106公里,南向,24.725124,120.9376,180,242,62,osm,0,215,0.99,改寫
1,124,國道一號南向124公里,南向,24.592031,120.860444,180,179,1,osm,0,208,1,改寫
1,126.5,國道一號南向126.5公里,南向,24.570803,120.852749,180,207,27,osm,3,208,1,改寫
1,127.5,國道一號北向127.5公里,北向,24.564767,120.846212,0,38,38,osm,1,30,1,改寫
1,129.15,國道一號南向129.15公里,南向,24.551512,120.839355,180,199,19,osm,1,210,1,改寫
1,134.7,國道一號北向134.7公里,北向,24.511134,120.808679,0,36,36,osm,4,28,1,改寫
1,141.7,國道一號北向141.7公里,北向,24.462055,120.788041,0,15,15,osm,4,26,1,改寫
1,152.9,國道一號南向152.9公里,南向,24.37083,120.746455,180,212,32,osm,5,207,1,改寫
1,157.4,國道一號北向157.4公里,北向,24.33757,120.72009,0,27,27,osm,0,28,1,改寫
1,157.4,國道一號北向157.4公里,北向,24.337972,120.720331,0,27,27,osm,1,28,1,改寫
1,165.3,國道一號南向165.3公里,南向,24.273297,120.693088,180,186,6,osm,3,201,1,改寫
1,170.3,國道一號南向170.3公里,南向,24.228313,120.685159,180,203,23,osm,1,205,1,改寫
1,172.4,國道一號南向172.4公里,南向,24.214232,120.673167,180,233,53,osm,1,205,1,改寫
1,172.8,國道一號北向172.8公里,北向,24.211574,120.6691527,0,60,60,osm,0,25,1,改寫
1,172.8,國道一號北向172.8公里,北向,24.124218,120.401024,0,36,36,chord,,36,1,維持舊值
1,187.5,國道一號南向187.5公里,南向,24.113134,120.597491,180,221,41,chord,,221,1,維持舊值
1,188,國道一號北向188公里,北向,24.116181,120.59194,0,34,34,chord,,34,1,維持舊值
1,200.1,國道一號南向200.1公里,南向,24.053078,120.523776,180,179,1,osm,1,204,1,改寫
1,223.5,國道一號南向223.5公里,南向,23.842691,120.48407,180,180,0,osm,9,177,1,改寫
1,223.5,國道一號南向223.5公里,南向,23.844749,120.484221,180,182,2,osm,0,177,1,改寫
1,224.9,國道一號北向224.9公里,北向,23.830542,120.485054,0,356,4,osm,8,357,1,改寫
1,224.9,國道一號北向224.9公里,北向,23.831925,120.484809,0,356,4,osm,7,357,1,改寫
1,233.4,國道一號北向233.4公里,北向,23.75602,120.4677,0,4,4,osm,7,8,1,改寫
1,233.4,國道一號北向233.4公里,北向,23.75788,120.467784,0,6,6,osm,2,8,1,改寫
1,238.6,國道一號南向238.6公里,南向,23.712355,120.476085,180,181,1,osm,1,190,1,改寫
1,246.8,國道一號北向246.8公里,北向,23.643088,120.444303,0,16,16,osm,3,13,1,改寫
1,247.2,國道一號南向247.2公里,南向,23.641596,120.443773,180,195,15,osm,12,193,1,改寫
1,252.2,國道一號南向252.2公里,南向,23.597475,120.434351,180,191,11,osm,3,193,1,改寫
1,254.1,國道一號北向254.1公里,北向,23.581107,120.428493,0,25,25,osm,0,16,1,改寫
